pcds,oslaua,lat,long,lsoa21,msoa21
BR1 1AA,E09000006,51.401545,0.01544,E01034386,E02000144
BR1 1AB,E09000006,51.406333,0.015234,E01000676,E02000134
BR1 1AD,E09000006,51.400057,0.016741,E01034386,E02000144
BR1 1AE,E09000006,51.404543,0.014221,E01000677,E02000144
BR1 1AF,E09000006,51.401391,0.014973,E01034386,E02000144
BR1 1AG,E09000006,51.401391,0.014973,E01034386,E02000144
BR1 1AH,E09000006,51.400441,0.01739,E01034386,E02000144
BR1 1AJ,E09000006,51.400488,0.018859,E01034386,E02000144
BR1 1AL,E09000006,51.406549,0.01313,E01000676,E02000134
BR1 1AN,E09000006,51.406625,0.017591,E01034385,E02000144
BR1 1AP,E09000006,51.4061,0.018286,E01034385,E02000144
BR1 1AQ,E09000006,51.405876,0.015631,E01000676,E02000134
BR1 1AR,E09000006,51.407274,0.01749,E01034385,E02000144
BR1 1AS,E09000006,51.398996,0.016191,E01000670,E02000144
BR1 1AX,E09000006,51.408226,0.017604,E01000676,E02000134
BR1 1BA,E09000006,51.39909,0.015462,E01000670,E02000144
BR1 1BB,E09000006,51.398191,0.015422,E01000670,E02000144
BR1 1BP,E09000006,51.409026,0.010262,E01000674,E02000134
BR1 1BQ,E09000006,51.408057,0.015899,E01034385,E02000144
BR1 1BS,E09000006,51.407276,0.01007,E01000676,E02000134
BR1 1BT,E09000006,51.399139,0.012589,E01000829,E02000144
BR1 1BU,E09000006,51.409073,0.010149,E01000674,E02000134
BR1 1BW,E09000006,51.398996,0.016191,E01000670,E02000144
BR1 1BX,E09000006,51.407276,0.01007,E01000676,E02000134
BR1 1BY,E09000006,51.408116,0.010898,E01000676,E02000134
BR1 1BZ,E09000006,51.408226,0.017604,E01000676,E02000134
BR1 1DA,E09000006,51.407152,0.017254,E01034385,E02000144
BR1 1DB,E09000006,51.407276,0.01007,E01000676,E02000134
BR1 1DD,E09000006,51.40389,0.016607,E01000676,E02000134
BR1 1DE,E09000006,51.408561,0.010616,E01000674,E02000134
BR1 1DF,E09000006,51.408898,0.010386,E01000674,E02000134
BR1 1DG,E09000006,51.409191,0.010068,E01000674,E02000134
BR1 1DH,E09000006,51.409026,0.010262,E01000674,E02000134
BR1 1DJ,E09000006,51.404038,0.017405,E01034385,E02000144
BR1 1DL,E09000006,51.409191,0.010068,E01000674,E02000134
BR1 1DN,E09000006,51.40389,0.016607,E01000676,E02000134
BR1 1DP,E09000006,51.398996,0.016191,E01000670,E02000144
BR1 1DQ,E09000006,51.408898,0.010386,E01000674,E02000134
BR1 1DR,E09000006,51.39909,0.015462,E01000670,E02000144
BR1 1DS,E09000006,51.399768,0.016297,E01034386,E02000144
BR1 1DT,E09000006,51.409026,0.010262,E01000674,E02000134
BR1 1DU,E09000006,51.398996,0.016191,E01000670,E02000144
BR1 1DW,E09000006,51.404088,0.014488,E01000677,E02000144
BR1 1DX,E09000006,51.408226,0.017604,E01000676,E02000134
BR1 1EA,E09000006,51.400462,0.016715,E01034386,E02000144
BR1 1EE,E09000006,51.400887,0.015541,E01034386,E02000144
BR1 1EG,E09000006,51.401684,0.015705,E01034386,E02000144
BR1 1EH,E09000006,51.408226,0.017604,E01000676,E02000134
BR1 1EJ,E09000006,51.400887,0.015541,E01034386,E02000144
